id,gameNo,gameName,gameCode,type,costPrice,tax,salePrice,dateOfSale
107,49,SeQXUmxToQ,yd1v6,2,24.32,2.19,26.51,2024-04-09
108,93,WPiGloecxK,qkYGS,2,93.36,8.4,101.76,2024-04-23
109,25,NkaqnWCfaH,uD85Y,2,72.31,6.51,78.82,2024-04-20
110,73,eALQxWfqcd,ckaxx,2,88.24,7.94,96.18,2024-04-12
111,21,EbIzKfweDP,YPF6P,2,72.52,6.53,79.05,2024-04-17
112,2,znkpgWhyot,fXBPq,2,67.94,6.11,74.05,2024-04-01
113,75,lTWalXeTGf,gf22I,2,92.7,8.34,101.04,2024-04-04
114,77,WpmEKIOJbi,LY5L6,1,84.81,7.63,92.44,2024-04-26
115,8,VkyfOePSvs,7IAAB,2,93.43,8.41,101.84,2024-04-22
116,39,ucDKKcsOyd,utCIV,1,29.11,2.62,31.73,2024-04-07
117,48,cBeNpPasDK,MGSh7,2,47.11,4.24,51.35,2024-04-22
118,18,LGpunmkMIV,yBBHp,1,60.93,5.48,66.41,2024-04-28
119,94,wHVUeBZYGr,cTWOf,1,78.61,7.07,85.68,2024-04-25
120,57,BXfcjSEhoh,qY6YK,1,98.14,8.83,106.97,2024-04-12
121,60,aNJqZxcHXx,gz3hH,1,22.92,2.06,24.98,2024-04-14
122,85,HINMEdKfep,6CPGF,2,34.83,3.13,37.96,2024-04-07
123,68,TvlSCPoQSL,amQGw,1,87.15,7.84,94.99,2024-04-12
124,62,YedhTQSboI,ZqfGK,2,91.14,8.2,99.34,2024-04-19
125,12,cTOiZnpNFN,NSEqZ,2,36.75,3.31,40.06,2024-04-08
126,2,IxgGFpPCYF,AfJpv,2,97.6,8.78,106.38,2024-04-15
127,50,ueSsjHmmKD,CoC0T,2,58.71,5.28,63.99,2024-04-15
128,4,xvHIksHKvg,8DZFF,2,50.6,4.55,55.15,2024-04-22
129,74,BJsQpSjrQl,CzgyJ,2,76.99,6.93,83.92,2024-04-09
130,98,HdLeyoRTYr,TG55B,2,20.66,1.86,22.52,2024-04-02
131,70,KrLyCvQJUE,TXNTD,2,11.28,1.02,12.3,2024-04-23
132,1,oszAdlEYsp,UfhTV,2,10.57,0.95,11.52,2024-04-02
133,20,UGuVWyUAnp,raOeN,1,78.46,7.06,85.52,2024-04-28
134,66,kGWbIKudXJ,L0AlU,1,92.62,8.34,100.96,2024-04-26
135,72,GVFXDLXsVb,rHwUt,2,20.08,1.81,21.89,2024-04-06
136,20,elpKoDlQSn,9cgLI,1,12.39,1.12,13.51,2024-04-14
137,70,CxfutJkgVB,KpOkz,1,10.35,0.93,11.28,2024-04-06
138,28,DvyEKQFdRh,RlVpi,1,73.44,6.61,80.05,2024-04-22
139,76,MIAqUlNaky,HlUXW,1,33.1,2.98,36.08,2024-04-02
140,55,xqGkJfAXjj,55clw,1,45.92,4.13,50.05,2024-04-11
141,85,cDcwRJstMQ,piW2k,2,98.91,8.9,107.81,2024-04-11
142,65,CGOhSyXudI,NTUbS,2,92.46,8.32,100.78,2024-04-24
143,97,zwCBEDdAyX,yXPRP,2,57.09,5.14,62.23,2024-04-13
144,61,CiMBesSINg,k4qyn,1,68.52,6.17,74.69,2024-04-03
145,39,FwUgCosziA,jzku9,2,46.42,4.18,50.6,2024-04-06
146,79,myZWMdwhtR,4FZ51,2,59.74,5.38,65.12,2024-04-04
147,10,baVIXcCRsT,Ocazx,1,87.11,7.84,94.95,2024-04-08
148,41,qjZuRTAtYq,vPO3b,2,95.28,8.58,103.86,2024-04-02
149,69,giMVRJzXKn,ppfqi,2,43.67,3.93,47.6,2024-04-07
150,6,SYNZhIYcXB,BpgyI,2,97.85,8.81,106.66,2024-04-20
151,26,vIieGAchcM,LH3uR,2,85.82,7.72,93.54,2024-04-06
152,89,iOzSIHbeyJ,8IdFP,2,12.25,1.1,13.35,2024-04-17
153,54,SJKlGQdxmw,poQkL,2,25.76,2.32,28.08,2024-04-26
154,80,WEslOJKURn,d5OEs,2,64.82,5.83,70.65,2024-04-07
155,99,DbpWhrbmyg,jpmCE,2,68.33,6.15,74.48,2024-04-21
156,49,DmdPGFHmOG,WcPYK,2,61.58,5.54,67.12,2024-04-16
157,1,XzMgDphZjb,cyigb,1,14.06,1.27,15.33,2024-04-11
158,41,hbsvzGFzop,vN9GY,1,84.05,7.56,91.61,2024-04-21
159,80,tFvIRysDxc,RXJHe,1,98.0,8.82,106.82,2024-04-14
160,23,zIYNLZTxjw,OQSe5,1,58.1,5.23,63.33,2024-04-17
161,22,oBvjFLpNqM,Mevv3,1,41.57,3.74,45.31,2024-04-20
162,6,DTWeBHhboK,zw6Lg,1,15.54,1.4,16.94,2024-04-01
163,99,ixFTiSyhJU,McFAy,1,21.75,1.96,23.71,2024-04-13
164,53,ryAVEvmSgi,z3ys4,2,60.32,5.43,65.75,2024-04-12
165,30,zvEqrNSvfv,NdUgV,1,93.06,8.38,101.44,2024-04-22
166,77,FwfQyYnLcj,Sbf80,1,11.35,1.02,12.37,2024-04-20
167,41,rMsSKbkCmc,lVHs2,1,69.75,6.28,76.03,2024-04-19
168,62,EsXHbahScl,cA2s4,1,55.25,4.97,60.22,2024-04-29
169,97,CQPdDCCkDb,ATrLZ,1,58.8,5.29,64.09,2024-04-10
170,36,WAYNTSXdkA,txKNa,2,44.49,4.0,48.49,2024-04-14
171,28,RQghtuxJUj,ckk60,2,100.31,9.03,109.34,2024-04-05
172,14,kcoAtBmVfl,oGQlE,1,60.37,5.43,65.8,2024-04-12
173,49,BciBubULwT,CcSY3,1,87.59,7.88,95.47,2024-04-27
174,49,TArnjleOjL,7dFHj,1,53.55,4.82,58.37,2024-04-16
175,45,DzkOagMmqg,52M3b,2,25.7,2.31,28.01,2024-04-13
176,39,ETOLlbLMJT,jPJIJ,1,67.62,6.09,73.71,2024-04-19
177,87,aRoHzBQcjv,8Faim,1,18.54,1.67,20.21,2024-04-04
178,97,RZVMIAxPnP,kbKLB,2,93.67,8.43,102.1,2024-04-26
179,66,LLSCJRWqwK,FUWuG,2,63.96,5.76,69.72,2024-04-07
180,34,VRDOJjenqo,Fgtv1,2,95.31,8.58,103.89,2024-04-13
181,58,lozNfLXBxY,zVqbJ,2,51.8,4.66,56.46,2024-04-08
182,92,gcHZQJaJBD,04qav,1,88.84,8.0,96.84,2024-04-26
183,60,SrxYsELkCM,c8dDm,2,30.96,2.79,33.75,2024-04-04
184,36,OudasNtPyG,VQqjP,1,91.27,8.21,99.48,2024-04-27
185,26,GXFUOLAgHj,8paOw,1,18.09,1.63,19.72,2024-04-28
186,44,eRmxtuLzzT,QVvU6,1,77.43,6.97,84.4,2024-04-10
187,84,gTmvxTqALK,Q1cM8,1,94.4,8.5,102.9,2024-04-29
188,13,YGQpRGGFcr,SN15X,2,89.73,8.08,97.81,2024-04-24
189,3,uopThLNprY,oI0QU,1,89.84,8.09,97.93,2024-04-26
190,92,vRFDTAWNXR,85NH2,1,45.6,4.1,49.7,2024-04-19
191,10,TCVgYHMidn,lPFzd,2,65.39,5.89,71.28,2024-04-27
192,39,EVrGuGfSEM,dt7LP,1,46.58,4.19,50.77,2024-04-05
193,47,LFkPuqcMZm,9XBA2,2,66.25,5.96,72.21,2024-04-18
194,25,mvdtJKrcjl,mMnun,1,12.95,1.17,14.12,2024-04-24
195,23,GcFAplyJuc,9EC8x,2,58.83,5.29,64.12,2024-04-04
196,45,sPizzHpPut,n8hBc,1,74.16,6.67,80.83,2024-04-17
197,44,WNiGVmSDXt,iZrxM,2,29.56,2.66,32.22,2024-04-26
198,34,fezlhkSNQb,sxAsN,1,56.51,5.09,61.6,2024-04-19
199,93,LJWubLKQAr,dBaay,1,98.74,8.89,107.63,2024-04-15
200,51,IiqlKxCIxY,8janD,2,90.69,8.16,98.85,2024-04-11
201,10,VufpzlcXlY,33Ogz,1,96.35,8.67,105.02,2024-04-01
202,87,fDZZSIhLLE,XtEh1,2,72.96,6.57,79.53,2024-04-12
203,10,PfDpCgcdxl,TIEaW,1,89.28,8.04,97.32,2024-04-03
204,26,zeMtoynuDe,KeBnQ,2,14.93,1.34,16.27,2024-04-01
205,6,EqirjAwlmR,tE9HW,1,13.7,1.23,14.93,2024-04-19
206,18,UjkKYBzNVi,Z2gH9,2,11.7,1.05,12.75,2024-04-12
207,38,QvaOsTBtcY,Cz9p5,2,48.08,4.33,52.41,2024-04-04
208,40,DoJIKHeNTY,iq0iH,2,21.73,1.96,23.69,2024-04-29
209,34,SSviqBEvyD,QjYDo,1,100.46,9.04,109.5,2024-04-24
210,62,XnIBgFTQbH,YHI4Q,2,60.1,5.41,65.51,2024-04-12
211,23,iyaPcZxnnr,tGcTY,2,66.1,5.95,72.05,2024-04-06
212,97,ytTYMAvepM,GERZO,1,32.59,2.93,35.52,2024-04-08
213,59,JrUinkAPPw,EFeTr,1,52.02,4.68,56.7,2024-04-07
214,87,XDtKRavdOh,GDYgy,2,12.18,1.1,13.28,2024-04-17
215,55,rceTpqlPdO,mtSZB,1,27.17,2.45,29.62,2024-04-18
216,58,uAxlHLBgWt,jCXCq,1,95.31,8.58,103.89,2024-04-23
217,87,yeCXmQlclT,aXP3Q,2,66.33,5.97,72.3,2024-04-02
218,96,ILRgdbmESP,rlzhW,2,77.38,6.96,84.34,2024-04-18
219,87,LfkiVeOkjO,d57RB,1,52.99,4.77,57.76,2024-04-25
220,99,InnhpAakHE,uAM6t,2,53.4,4.81,58.21,2024-04-23
221,77,lttgAzPlSK,bcQuD,1,35.94,3.23,39.17,2024-04-28
222,11,dqopLPZdnh,rUeu0,2,40.25,3.62,43.87,2024-04-05
223,34,EQxaQAOBQI,FhwEy,1,23.08,2.08,25.16,2024-04-02
224,77,RoSfHPzCXK,zTkQN,1,22.84,2.06,24.9,2024-04-21
225,79,KtHmTQSqwI,gA05Y,2,35.55,3.2,38.75,2024-04-08
226,54,xAEpsDQeCt,ju1nF,2,74.32,6.69,81.01,2024-04-04
227,34,OVHooBHZqY,bwutS,1,91.13,8.2,99.33,2024-04-20
228,65,UCTAtRjzeE,cgaQu,2,31.3,2.82,34.12,2024-04-06
229,26,YcGkVGzTgp,o0SPr,2,79.09,7.12,86.21,2024-04-22
230,88,qDjlfZJuRV,PFbof,1,75.28,6.78,82.06,2024-04-20
231,25,igZlCLnlvw,AQpuV,1,46.66,4.2,50.86,2024-04-02
232,11,evTTnJshym,jiDU0,2,19.03,1.71,20.74,2024-04-25
233,12,KdnWLhEwim,VjT6X,2,55.43,4.99,60.42,2024-04-25
234,78,FgIBbViXSQ,eVE6A,1,43.32,3.9,47.22,2024-04-18
235,75,tJebbiGQnN,1xeNN,2,34.89,3.14,38.03,2024-04-28
236,19,Buacdbjtpq,KMCzT,2,57.89,5.21,63.1,2024-04-05
237,40,ZYXZvZWTOJ,bdLi7,2,46.34,4.17,50.51,2024-04-08
238,3,veSabypxiU,ZjrBu,2,63.38,5.7,69.08,2024-04-17
239,70,dgRTAXTQLQ,ciSsw,1,74.38,6.69,81.07,2024-04-01
240,52,mZqlNSMyro,7qjR4,2,31.27,2.81,34.08,2024-04-24
241,31,jeNuFlMeYi,apcW9,2,70.07,6.31,76.38,2024-04-16
242,12,KlpCDWXDLA,7hI17,2,92.51,8.33,100.84,2024-04-25
243,47,gzBqVTuCZz,YpIgc,1,20.66,1.86,22.52,2024-04-24
244,21,gQIJhYDbmW,NwVg9,1,42.0,3.78,45.78,2024-04-16
245,12,zwgqwrNYce,j7vhu,2,45.85,4.13,49.98,2024-04-17
246,2,pWfClnUlUZ,G2Ala,1,59.54,5.36,64.9,2024-04-28
247,27,RwbDDsUuYV,9wN0H,1,100.03,9.0,109.03,2024-04-07
248,85,LFNDOfCnCJ,PJhRn,1,17.24,1.55,18.79,2024-04-05
249,34,sbjDdYwkyR,jxsTM,1,69.15,6.22,75.37,2024-04-20
250,79,dqGQNcsUGJ,OBvnq,2,76.95,6.93,83.88,2024-04-07
251,77,rxFRZDlRsB,Gj6F1,1,67.23,6.05,73.28,2024-04-02
252,9,lgbKpzqaJz,vATh6,1,96.25,8.66,104.91,2024-04-19
253,83,DlqxWyQzRu,DjdPF,2,18.48,1.66,20.14,2024-04-24
254,19,eEOJLBYFwi,g2cD5,1,41.55,3.74,45.29,2024-04-09
255,28,KCiCIHtHVB,E8rqz,1,68.66,6.18,74.84,2024-04-26
256,24,UuqPMJHqhb,4Pdcc,1,42.28,3.81,46.09,2024-04-27
257,89,fXzKyCYfrs,KQNPw,1,84.99,7.65,92.64,2024-04-10
258,35,xZqvXZAbfx,1tvdy,2,16.3,1.47,17.77,2024-04-14
259,4,KmOhoPSgIT,Cd9gc,2,36.3,3.27,39.57,2024-04-27
260,97,VFZoirmHhJ,5awT9,1,38.12,3.43,41.55,2024-04-15
261,47,YUgzlRZndZ,hyKob,1,17.28,1.56,18.84,2024-04-19
262,26,BRHPJKPIGY,Cro1h,2,78.45,7.06,85.51,2024-04-20
263,44,aCySbGyrrv,XsbQa,1,11.52,1.04,12.56,2024-04-07
264,21,nWakTPZtnP,rPoEh,2,60.06,5.41,65.47,2024-04-11
265,98,HQjwTAPcRf,uJagN,2,83.21,7.49,90.7,2024-04-07
266,64,PZHiSpdyAX,O9bGw,2,70.81,6.37,77.18,2024-04-15
267,34,JYFRIwfLoz,d7Kwu,2,89.54,8.06,97.6,2024-04-01
268,58,mkOOpnlOGr,Txllz,1,53.11,4.78,57.89,2024-04-17
269,42,QtPIDguzAq,3nq9R,2,39.36,3.54,42.9,2024-04-02
270,35,UyBjhVCwro,tnQ6L,1,79.82,7.18,87.0,2024-04-19
271,76,oBBoxDLDNU,FS7rE,1,63.14,5.68,68.82,2024-04-01
272,5,SWcoSLhHgb,X4lO8,1,59.03,5.31,64.34,2024-04-25
273,74,qBpwLZOdIs,Gvt8K,2,65.74,5.92,71.66,2024-04-14
274,56,dqVlxNosAV,Oi75r,1,29.81,2.68,32.49,2024-04-02
275,49,YSyRFmpSPQ,mM7fp,1,49.78,4.48,54.26,2024-04-08
276,72,RJAiQCZJWh,hT0TL,2,17.32,1.56,18.88,2024-04-25
277,70,CfIhvvOhOA,HU49y,2,92.76,8.35,101.11,2024-04-05
278,15,phCfhMoxSN,El82Y,1,81.46,7.33,88.79,2024-04-10
279,53,hzksPUmnTQ,2pyn6,2,42.45,3.82,46.27,2024-04-22
280,87,MQyUolinuu,GRqP7,2,74.17,6.68,80.85,2024-04-11
281,67,mbTfRjaNfO,uqdPd,2,67.46,6.07,73.53,2024-04-12
282,25,CTYACRBxRC,Lsaih,1,87.48,7.87,95.35,2024-04-09
283,39,BanCWyTlKi,Yg32Z,2,77.76,7.0,84.76,2024-04-02
284,63,VZPOjXrCbd,ENgJ8,2,73.21,6.59,79.8,2024-04-18
285,100,hCUlblSDEH,g97Az,1,88.76,7.99,96.75,2024-04-23
286,72,gyHClJwtGx,KufiA,1,21.01,1.89,22.9,2024-04-12
287,62,nyDBLeqAnW,okqLs,1,99.1,8.92,108.02,2024-04-05
288,96,wmSDjSazpv,Uk7Kv,2,18.44,1.66,20.1,2024-04-10
289,5,WcStTnEjkE,WnAID,2,92.03,8.28,100.31,2024-04-18
290,11,YtBZOiUOhr,NJCHp,2,39.17,3.53,42.7,2024-04-26
291,7,WRykfJAcNK,8o9IJ,2,70.97,6.39,77.36,2024-04-05
292,84,nOTSnJMVWC,ryaQX,2,46.7,4.2,50.9,2024-04-04
293,97,IEyBSogHQW,WU68m,2,60.22,5.42,65.64,2024-04-27
294,35,vzJsUagDji,3tL8P,2,49.93,4.49,54.42,2024-04-05
295,81,YyFZOaViJA,0RFa7,2,13.67,1.23,14.9,2024-04-23
296,80,qIslCyaLuQ,rb1nz,1,16.57,1.49,18.06,2024-04-13
297,75,hdQUcvZBrO,ZYjy4,2,32.54,2.93,35.47,2024-04-14
298,17,iHVuiwyzWZ,G9LeT,2,37.97,3.42,41.39,2024-04-04
299,78,FkLNRzAKpa,qcAJK,1,14.1,1.27,15.37,2024-04-13
300,9,UUgUDzZdSn,706bJ,2,26.49,2.38,28.87,2024-04-19
301,29,OlcwwmNBcN,dhAdO,1,23.29,2.1,25.39,2024-04-16
302,9,sQXuCyAzgm,LWbaF,1,62.45,5.62,68.07,2024-04-21
303,41,HCUEkBtvyq,vdBBy,2,18.23,1.64,19.87,2024-04-25
304,40,qkRNXqSFig,fBgEy,1,12.65,1.14,13.79,2024-04-26
305,24,BXEBpdgCAE,Q9UkF,1,77.3,6.96,84.26,2024-04-16
306,37,nHhRbPvboc,8Dps6,2,44.8,4.03,48.83,2024-04-17
307,90,SaseBRtdRR,hdC0E,1,52.58,4.73,57.31,2024-04-25
308,65,axegRQhVmd,azfs8,2,57.77,5.2,62.97,2024-04-21
309,14,JTVCbZEecY,5s8fq,2,74.18,6.68,80.86,2024-04-22
310,38,zzAuXhCHKT,m4ekB,1,33.83,3.04,36.87,2024-04-12
311,94,kWscghMPur,4N1GX,1,88.72,7.98,96.7,2024-04-23
312,34,rYXdtQEPSH,2sNNn,1,61.92,5.57,67.49,2024-04-27
313,2,xqvcfYfCCS,qkIwQ,2,99.31,8.94,108.25,2024-04-06
314,15,xYKljMnPfq,2h5OV,2,19.83,1.78,21.61,2024-04-13
315,95,cEmcdUyNnW,VXX9t,1,61.67,5.55,67.22,2024-04-09
316,66,cWhQLJEAyh,aWwPn,2,88.0,7.92,95.92,2024-04-24
317,37,bjmITzfFjd,eAILd,2,38.28,3.45,41.73,2024-04-23
318,24,Djqlgxhwvr,eKhEU,2,30.6,2.75,33.35,2024-04-14
319,17,OrBOVujVQP,Gjz1j,1,29.68,2.67,32.35,2024-04-28
320,2,UiMqVoNGYU,k17qt,1,78.41,7.06,85.47,2024-04-28
321,25,RnexUuAPWD,6dqra,1,77.07,6.94,84.01,2024-04-09
322,94,DYCAKjqmYP,3qpMx,2,81.39,7.33,88.72,2024-04-13
323,25,iFswPXteGJ,ZUQQM,2,30.71,2.76,33.47,2024-04-15
324,100,OiHxjRNcCw,MaRgf,2,28.23,2.54,30.77,2024-04-11
325,100,pAUGNEtyxC,jSMDc,2,82.4,7.42,89.82,2024-04-09
326,66,LuDLsNCTwP,kf6z2,1,29.19,2.63,31.82,2024-04-12
327,6,RUIQHKtLCY,1z7mV,2,32.8,2.95,35.75,2024-04-07
328,71,VVAGWMyvVq,c6Jhk,1,84.78,7.63,92.41,2024-04-28
329,74,LTgrimFpBC,Szirc,2,44.97,4.05,49.02,2024-04-21
330,98,wcMBzqsDQD,1afDf,2,41.1,3.7,44.8,2024-04-13
331,86,fnCJulozei,ZGnlX,2,33.88,3.05,36.93,2024-04-14
332,9,IGuzWvdpWZ,ft4bP,2,66.44,5.98,72.42,2024-04-10
333,56,ONLfPeVYPh,x5LfI,1,60.33,5.43,65.76,2024-04-13
334,55,XYhkjydLYk,7idEs,1,43.39,3.91,47.3,2024-04-18
335,20,rATcFdfUTB,ohNLo,2,25.86,2.33,28.19,2024-04-08
336,76,QOKdeiTcsC,tDNci,1,100.05,9.0,109.05,2024-04-28
